no_of_requests,api_name,api_version,invoke_path,access_token,http_method,ip_address,user_cookie,app_name,username
1,news,1,menu,3a30f546-3716-35e9-8cf9-a3ccf16d2399,GET,192.88.172.103,JSESSIONID=1if1to93rtb7rwj2amdurhw579idsw3,Online Shopping,manuel100
3,news,1,menu,be988448-ad92-3415-bf67-a1f9f2056d4c,GET,203.47.159.148,JSESSIONID=2z44w5h9yxpionlxfaazv1vg69ks68h,Online Shopping,willie99
1,news,1,menu,9db88c20-74c9-39d2-a1ee-1f26fc0ba16a,GET,198.17.215.132,JSESSIONID=mbhqgo0lgmp9dl3zd08pkt90fyjqc7x,Online Shopping,wayne98
1,news,1,menu,b1ef8936-56a7-3984-95c4-c672009d8339,GET,200.182.239.152,JSESSIONID=cy310l4y9nrbbxep4kdj99lxa6c12hf,Online Shopping,nancy97
2,news,1,menu,870d1540-7482-39ed-98dd-549c77eb4316,GET,192.52.195.80,JSESSIONID=6zemmjvqxfnaot91eukk19yi4zqhggp,Online Shopping,christopher96
3,places,1,menu,3a30f546-3716-35e9-8cf9-a3ccf16d2399,GET,192.88.172.103,JSESSIONID=1if1to93rtb7rwj2amdurhw579idsw3,Online Shopping,manuel100
3,places,1,menu,be988448-ad92-3415-bf67-a1f9f2056d4c,GET,203.47.159.148,JSESSIONID=2z44w5h9yxpionlxfaazv1vg69ks68h,Online Shopping,willie99
1,places,1,menu,9db88c20-74c9-39d2-a1ee-1f26fc0ba16a,GET,198.17.215.132,JSESSIONID=mbhqgo0lgmp9dl3zd08pkt90fyjqc7x,Online Shopping,wayne98
3,places,1,menu,b1ef8936-56a7-3984-95c4-c672009d8339,GET,200.182.239.152,JSESSIONID=cy310l4y9nrbbxep4kdj99lxa6c12hf,Online Shopping,nancy97
4,places,1,menu,870d1540-7482-39ed-98dd-549c77eb4316,GET,192.52.195.80,JSESSIONID=6zemmjvqxfnaot91eukk19yi4zqhggp,Online Shopping,christopher96
26,news,1,menu,90a1a6f3-644a-33e9-a6a0-40977c1e8996,GET,169.205.159.12,JSESSIONID=bzxpw2kegvk1dh3wia2lej87bwc4h9m,Online Shopping,brandon95
